Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
K4FAA8	uncultured archaeon	Archaea						uncultured archaeon
K4F8N6	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5E1	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5B5	uncultured archaeon	Archaea						uncultured archaeon
E2D8G9	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGJ4	uncultured archaeon	Archaea						uncultured archaeon
E2J812	uncultured archaeon	Archaea						uncultured archaeon
T1YXK5	uncultured archaeon	Archaea						uncultured archaeon
K4F5H3	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5D6	uncultured archaeon	Archaea						uncultured archaeon
