Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
A0A291I7W8	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGT8	uncultured archaeon	Archaea						uncultured archaeon
A0A291I835	uncultured archaeon	Archaea						uncultured archaeon
T1YVK5	uncultured archaeon	Archaea						uncultured archaeon
K4F4A8	uncultured archaeon	Archaea						uncultured archaeon
A0A346I594	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJG7	uncultured archaeon	Archaea						uncultured archaeon
A0A516FI98	uncultured archaeon	Archaea						uncultured archaeon
K4F8R4	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6A2	uncultured archaeon	Archaea						uncultured archaeon
K4F3W5	uncultured archaeon	Archaea						uncultured archaeon
A0A345GPZ1	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUC2	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5APP1	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFZ5	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5W4	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJF0	uncultured archaeon	Archaea						uncultured archaeon
A0A172MJP4	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUF8	uncultured archaeon	Archaea						uncultured archaeon
K4F3Q8	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5Y8	uncultured archaeon	Archaea						uncultured archaeon
A0A345GR42	uncultured archaeon	Archaea						uncultured archaeon
K4F8Q8	uncultured archaeon	Archaea						uncultured archaeon
W8GL51	uncultured archaeon	Archaea						uncultured archaeon
K4F8I7	uncultured archaeon	Archaea						uncultured archaeon
K4F4X9	uncultured archaeon	Archaea						uncultured archaeon
A0A346I6D4	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQ85	uncultured archaeon	Archaea						uncultured archaeon
M4ZTZ2	uncultured archaeon	Archaea						uncultured archaeon
A0A516FGY8	uncultured archaeon	Archaea						uncultured archaeon
K4F506	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFQ2	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5APT1	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQ76	uncultured archaeon	Archaea						uncultured archaeon
T1YY68	uncultured archaeon	Archaea						uncultured archaeon
K4F422	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQ77	uncultured archaeon	Archaea						uncultured archaeon
A0A291I7S5	uncultured archaeon	Archaea						uncultured archaeon
A0A172MGK2	uncultured archaeon	Archaea						uncultured archaeon
T1W2N4	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQE1	uncultured archaeon	Archaea						uncultured archaeon
K4F539	uncultured archaeon	Archaea						uncultured archaeon
A0A291I814	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQ10	uncultured archaeon	Archaea						uncultured archaeon
T1YVU1	uncultured archaeon	Archaea						uncultured archaeon
A0A172MH15	uncultured archaeon	Archaea						uncultured archaeon
A0A345GQE7	uncultured archaeon	Archaea						uncultured archaeon
A0A346I5U8	uncultured archaeon	Archaea						uncultured archaeon
L7WX26	uncultured archaeon	Archaea						uncultured archaeon
A0A516FIN2	uncultured archaeon	Archaea						uncultured archaeon
T1W224	uncultured archaeon	Archaea						uncultured archaeon
A0A516FHF1	uncultured archaeon	Archaea						uncultured archaeon
K4F4V8	uncultured archaeon	Archaea						uncultured archaeon
K4F8X4	uncultured archaeon	Archaea						uncultured archaeon
A0A291I801	uncultured archaeon	Archaea						uncultured archaeon
A0A291I800	uncultured archaeon	Archaea						uncultured archaeon
K4F4Y6	uncultured archaeon	Archaea						uncultured archaeon
W8GPD5	uncultured archaeon	Archaea						uncultured archaeon
A0A3G5AQQ9	uncultured archaeon	Archaea						uncultured archaeon
K4F3K4	uncultured archaeon	Archaea						uncultured archaeon
A0A516FFU4	uncultured archaeon	Archaea						uncultured archaeon
A0A097BUF1	uncultured archaeon	Archaea						uncultured archaeon
