Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
Q607G3	Methylococcus capsulatus (strain ATCC 33009 / NCIMB 11132 / Bath)	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus	Methylococcus capsulatus
G4SZ63	Methylotuvimicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z) (Methylomicrobium alcaliphilum)	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium	Methylotuvimicrobium alcaliphilum (Methylobacter alcaliphilus)
A0A0C1V6H4	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
A0A0C1UUH7	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
A0A516TNB9	Methylacidiphilum kamchatkense Kam1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum kamchatkense
D5MJE2	Candidatus Methylomirabilis oxyfera	Bacteria	candidate division NC10				Candidatus Methylomirabilis	Candidatus Methylomirabilis oxyfera
Q70EF3	Methylocystis sp. (strain SC2)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. (strain SC2)
A0A6P1IDD3	Rhodococcus sp. WAY2	Bacteria	Actinobacteria	Actinomycetia (high G+C Gram-positive bacteria)	Corynebacteriales	Nocardiaceae	Rhodococcus	Rhodococcus sp. WAY2
D4PB74	Methylocystis sp. (strain SB2)	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. (strain SB2)
I1WZ50	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
E1CBX0	Methylovulum miyakonense	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Methylovulum miyakonense
V5DXJ0	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
V5BW20	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
V5DIZ5	Methyloglobulus morosus KoM1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus
A8SI22	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJP5	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SI20	uncultured Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria				uncultured Gammaproteobacteria bacterium
A8SIB7	uncultured Gammaproteobacteria bacterium	Bacteria	Proteobacteria	Gammaproteobacteria				uncultured Gammaproteobacteria bacterium
A8SJM6	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJ90	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SI53	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJK2	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJF9	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJC0	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SJ55	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A8SIZ4	uncultured Alphaproteobacteria bacterium	Bacteria	Proteobacteria	Alphaproteobacteria				uncultured Alphaproteobacteria bacterium
A0A0A1I7C4	uncultured prokaryote							uncultured prokaryote
A0A0A1I7E4	uncultured prokaryote							uncultured prokaryote
A0A0A1I7A8	uncultured prokaryote							uncultured prokaryote
Q8KMF8	Methylocystis sp. IMET 10484	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. IMET 10484
Q50541	Methylosinus trichosporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus trichosporium
C4R9M3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9P9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UJI1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LZX7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G8JYL4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
I2APP1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R4P374	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A060IKP2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0N9E780	uncultured Methylocaldum sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	uncultured Methylocaldum sp.
E5BBM6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2ASR2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9K6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9U4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAB6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A068W6C5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E334	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9U1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA99	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D3JLH5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A142JWT8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AD41	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V891	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
S4VL12	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LYX4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A411P9D2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A060VG01	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9V7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E5BBM0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9L5R8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UMV6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0S1TJI2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A060VH51	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M1B2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9N5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LY48	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LYH0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QDF8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UJ67	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UMV4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA76	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E3H9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E344	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2AT34	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL09	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9T5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2AR39	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAB8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S412	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
G0Z586	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
Q9F9N4	uncultured methanotroph 'type 5'	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		uncultured methanotroph 'type 5'
E0YAC3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9M8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S9P4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A060VCQ6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UJH4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LY12	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E386	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V899	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M1B8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAB7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD30	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LY15	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JJP8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AD43	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2ASZ1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QG73	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKV6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A088Q7K3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R4P357	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL53	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E2Z0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E303	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL63	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKX9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A1I9RGT8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S9K8	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
Q70TI5	Methylomonas sp. D1a	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. D1a
Q4AD07	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QDI1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA86	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA89	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UJ61	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LYV7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD05	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9V5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S493	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E338	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4ACZ5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S5A0	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
W5S418	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
E0YAA2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A1I9RGR4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2AT21	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL30	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E328	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL74	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9T9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D3JLH8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA83	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL32	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
S4VHW7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL71	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9X7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
S4VF05	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD09	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G8JYL2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A089FVF0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V885	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9P8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A068W602	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A089FYV2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E318	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AC56	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S428	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9X8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6T2W5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LYF3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAA6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QEL3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E349	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A1M4BJV2	uncultured Methylomonas sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	uncultured Methylomonas sp.
A0A060VCW1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q9R2K4	uncultured bacterium MR4	Bacteria						uncultured bacterium MR4
A0A0F6QG82	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V895	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C9EJ54	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E459	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL16	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL59	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M055	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL43	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2ASW8	Methylocystis sp. SB12	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. SB12
W5S9G0	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
G0Z575	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
C9EJ50	uncultured Methylocaldum sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	uncultured Methylocaldum sp.
A0A089FYU7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9L1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA79	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JR60	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V8A5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4ACY5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LZZ3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D3JLH7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0M4RFI4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKY3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
W5S3U7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E342	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAC2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AGD7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD04	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A1I9RGR3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL37	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G0Z5B0	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
A0A068EW72	NC10 bacterium enrichment culture clone CSTR 2-18	Bacteria	candidate division NC10					NC10 bacterium enrichment culture clone CSTR 2-18
Q8KM59	Methylosinus trichosporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus trichosporium
C4R9X4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKY2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
B1PAH4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E5BBL7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0M5M267	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V875	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JFW4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LYX8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YAD1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C9EJ40	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
Q7WYN4	uncultured Methylocaldum sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	uncultured Methylocaldum sp.
Q8KM62	Methylosinus trichosporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus trichosporium
T2AR62	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
S5XMK3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E5BBM2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
T2ARU8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0K1YXP5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LZY8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9P4	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
S4VHZ1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V873	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9N9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R9UL54	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M030	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A060VCT9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD37	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKV8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QG85	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JR64	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A411P9E8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKX7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
H9TQE4	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
W5S9K3	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
W5S403	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
A0A0S2RR18	uncultured ammonia-oxidizing beta proteobacterium	Bacteria	Proteobacteria	Betaproteobacteria				uncultured ammonia-oxidizing beta proteobacterium
A0A088Q7K8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AIK9	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
I2APN5	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0K1YXP3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0M3UM51	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D0V876	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD34	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A1W6R7D3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0F6QG76	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A089FXL6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL01	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4AD25	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q8KME6	Methylocystis sp. 50/42a	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. 50/42a
J7M2T6	uncultured Methylomonas sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	uncultured Methylomonas sp.
J7M2T4	uncultured Methylomonas sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	uncultured Methylomonas sp.
C4NZR9	uncultured Methylocaldum sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	uncultured Methylocaldum sp.
S4VKM1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4ACZ0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E302	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G0Z576	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
A8UE57	uncultured Methylobacter sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	uncultured Methylobacter sp.
K9LY55	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
R4P568	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LY22	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E5BBM1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M1D1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9LY44	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JK69	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
D5FY59	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
Q4ACZ7	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
K9M009	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E3I6	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E0YA92	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A5J6E310	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0M4RFK8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
I2APP0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKV2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
E5BBN3	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
G7ZKX1	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
C4R9S8	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
X2JK73	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A411P9F0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A0B5AGS2	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL51	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
F1CL79	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
A0A089H0I0	uncultured methanotrophic bacterium	Bacteria						uncultured methanotrophic bacterium
