Entry	Organism	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (CLASS)	Taxonomic lineage (ORDER)	Taxonomic lineage (FAMILY)	Taxonomic lineage (GENUS)	Taxonomic lineage (SPECIES)
A0A0K1W0F8	Methylocucumis oryzae	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocucumis	Methylocucumis oryzae
W5S9I2	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
C7G3C3	uncultured Methylomonas sp.	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	uncultured Methylomonas sp.
F8U5W6	NC10 bacterium enrichment culture clone 'enr d 332d Lieshout clone 1'	Bacteria	candidate division NC10					NC10 bacterium enrichment culture clone 'enr d 332d Lieshout clone 1'
A0A068EWT9	NC10 bacterium enrichment culture clone CSTR 2-3	Bacteria	candidate division NC10					NC10 bacterium enrichment culture clone CSTR 2-3
W5S574	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
A0A0K0WYR8	Acinetobacter sp. PaPiEm2-1	Bacteria	Proteobacteria	Gammaproteobacteria	Moraxellales	Moraxellaceae	Acinetobacter	Acinetobacter sp. PaPiEm2-1
W5S9H7	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
W5S3W3	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
W5S448	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
Q8KMC2	Methylocystis sp. KS33	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. KS33
A0A068EW67	NC10 bacterium enrichment culture clone CSTR 2-10	Bacteria	candidate division NC10					NC10 bacterium enrichment culture clone CSTR 2-10
W5S579	uncultured ammonia-oxidizing bacterium	Bacteria						uncultured ammonia-oxidizing bacterium
W7XCC8	Hydrogenophaga sp. T4	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga	Hydrogenophaga sp. T4
W6JQ95	Methylosinus sp. hs-BK1F29	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sp. hs-BK1F29
Q8KMC9	Methylocystis sp. 56	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. 56
Q27HT5	Methylomonas sp. clone PP39F	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. clone PP39F
Q2N383	Methylocystis sp. 16	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. 16
W6PPR9	Methylomonas sp. R-45363	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. R-45363
A0A068EZ41	NC10 bacterium enrichment culture clone CSTR 2-8	Bacteria	candidate division NC10					NC10 bacterium enrichment culture clone CSTR 2-8
A4PDX7	Methylocaldum sp. T-025	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum	Methylocaldum sp. T-025
G1UJW9	type I methanotrophic bacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		type I methanotrophic bacterium
Q9RPR2	uncultured eubacterium pAMC519	Bacteria						uncultured eubacterium pAMC519
Q9RAL0	Methylosinus sp. LW2	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sp. LW2
Q8KME0	Methylosinus sporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sporium
Q2FAX7	Methylosinus sporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sporium
Q8KMC7	Methylocystis sp. 41	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis	Methylocystis sp. 41
Q27HU4	Methylomonas sp. clone ProtF01	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas	Methylomonas sp. clone ProtF01
Q8KMF9	Methylosinus sporium	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus	Methylosinus sporium
A0A191Z4M0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2GAT0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W6QYB4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G616	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A161IHP4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1B0Z7U9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
V5T9C7	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3Q8BBV6	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
R4VBY4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A0F7IKT2	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A060MZV0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A2H4Z939	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A6B9R0X5	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W5ZIB1	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A0F7DCH9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3S6IE65	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
R4UPF5	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3S6IAV0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DIQ9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1P8NWK4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2GAN1	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3Q8AZY3	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
S5UF93	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YW33	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YPZ4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A161ILF4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3S6IFQ0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
Q6RW38	uncultured methanotrophic proteobacterium	Bacteria	Proteobacteria					uncultured methanotrophic proteobacterium
M9YMI0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
F5B9K0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A172X0V4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A168GED8	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A2H4Z935	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W5ZJ55	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DIZ1	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1B0Z8D4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G6E7	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A191Z4B2	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A191Z4W9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DJS2	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YMG9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G6B4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1B0Z8F2	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3S6I9G9	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A6B9QZX1	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
Q2FAY1	uncultured methanotrophic proteobacterium	Bacteria	Proteobacteria					uncultured methanotrophic proteobacterium
A0A3S6IFR4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DIX0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YX71	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G838	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
Q6RW23	uncultured methanotrophic proteobacterium	Bacteria	Proteobacteria					uncultured methanotrophic proteobacterium
S5UF82	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G852	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A168GHN0	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1P8NWP3	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2G889	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DJQ3	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
W5QV33	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W5ZIX5	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A650DJS8	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
W5QV49	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
S5TRH3	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
X2GB94	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
R4UPG6	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
W5QV56	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
W5QV85	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A1W5ZIW4	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A0F7IGX7	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A3Q8BL00	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YQE6	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A0F7DCI5	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
A0A068JI74	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
M9YWZ8	uncultured candidate division NC10 bacterium	Bacteria	candidate division NC10					uncultured candidate division NC10 bacterium
