1	1
1027	1027
1027	399
1027	1010
108	108
137	137
166	166
195	195
195	854
195	1041
195	764
195	987
223	223
252	252
281	281
281	876
281	768
31	31
339	339
368	368
397	397
425	425
454	454
483	483
511	511
511	1040
540	540
57	57
57	866
57	868
599	599
599	1039
627	627
656	656
685	685
685	1030
713	713
804	804
804	803
904	904
904	12
904	837
904	838
933	933
933	716
964	964
10	10
1028	1028
1028	913
1028	1049
109	109
138	138
167	167
196	196
224	224
253	253
282	282
310	310
310	969
310	1013
310	1014
310	766
310	767
310	1052
310	1024
369	369
369	889
369	1019
369	1017
369	857
369	891
369	839
398	398
426	426
455	455
484	484
484	779
512	512
541	541
570	570
6	6
628	628
657	657
686	686
714	714
714	931
774	774
774	973
774	149
774	830
774	831
774	950
774	836
774	986
774	988
877	877
877	538
905	905
905	740
934	934
934	228
934	1015
100	100
139	139
168	168
197	197
225	225
254	254
283	283
311	311
340	340
37	37
427	427
456	456
456	776
456	1047
485	485
513	513
542	542
571	571
60	60
629	629
658	658
687	687
715	715
715	938
715	932
746	746
746	747
746	403
746	780
746	1011
806	806
806	501
878	878
935	935
935	936
935	591
966	966
995	995
995	335
84	84
130	130
16	16
189	189
189	769
189	871
217	217
246	246
275	275
275	899
303	303
332	332
361	361
390	390
419	419
448	448
477	477
477	772
505	505
534	534
563	563
592	592
620	620
65	65
679	679
707	707
707	930
736	736
87	87
87	1034
131	131
160	160
19	19
218	218
247	247
276	276
304	304
362	362
391	391
42	42
449	449
478	478
506	506
535	535
564	564
593	593
621	621
650	650
68	68
68	841
68	903
708	708
737	737
737	900
8	8
870	870
9	9
928	928
928	705
959	959
132	132
161	161
190	190
219	219
248	248
277	277
305	305
392	392
420	420
45	45
479	479
507	507
536	536
565	565
594	594
622	622
651	651
680	680
709	709
738	738
738	901
80	80
90	90
113	113
142	142
171	171
20	20
258	258
287	287
315	315
344	344
344	902
373	373
401	401
430	430
46	46
489	489
517	517
546	546
575	575
603	603
632	632
661	661
690	690
719	719
75	75
82	82
881	881
881	584
91	91
939	939
97	97
999	999
999	1009
999	423
114	114
114	158
143	143
172	172
200	200
23	23
288	288
316	316
345	345
374	374
402	402
431	431
460	460
49	49
518	518
547	547
576	576
604	604
633	633
662	662
691	691
72	72
78	78
853	853
853	852
853	786
853	127
853	869
882	882
882	975
882	1050
882	245
94	94
1035	1035
1035	751
115	115
115	1042
115	789
115	790
144	144
173	173
201	201
230	230
26	26
289	289
317	317
317	998
375	375
432	432
490	490
519	519
548	548
577	577
577	992
605	605
634	634
663	663
692	692
720	720
822	822
940	940
1036	1036
1036	1004
1036	568
1036	775
1036	1002
1036	757
1036	1018
1036	1053
1036	1000
1036	1006
1036	1012
1036	1055
1036	1001
1036	1007
1036	1005
1036	346
1036	1008
1036	1003
1036	980
1036	1016
116	116
145	145
174	174
320	320
35	35
379	379
407	407
436	436
494	494
522	522
551	551
580	580
609	609
638	638
667	667
696	696
724	724
755	755
755	759
755	243
755	989
784	784
784	208
784	893
784	1020
829	829
944	944
101	101
104	104
178	178
206	206
235	235
264	264
264	828
264	860
264	761
264	981
264	982
293	293
321	321
350	350
38	38
408	408
466	466
495	495
523	523
523	835
523	873
552	552
581	581
61	61
639	639
668	668
697	697
697	916
697	926
725	725
725	758
725	960
756	756
83	83
976	976
976	410
976	892
120	120
15	15
179	179
207	207
236	236
265	265
265	979
265	867
294	294
322	322
322	909
322	910
322	911
322	912
322	952
322	953
351	351
380	380
409	409
409	750
409	762
409	763
409	895
409	896
438	438
438	180
467	467
496	496
524	524
553	553
582	582
582	859
582	1021
610	610
64	64
669	669
669	834
698	698
698	917
726	726
726	791
86	86
150	150
18	18
237	237
266	266
295	295
323	323
352	352
381	381
41	41
675	675
703	703
703	925
732	732
983	983
983	954
983	333
128	128
157	157
186	186
186	888
214	214
272	272
300	300
33	33
359	359
388	388
416	416
445	445
474	474
502	502
502	797
502	937
502	923
502	924
531	531
560	560
59	59
618	618
676	676
676	884
676	885
676	894
704	704
704	927
733	733
733	915
105	105
129	129
187	187
215	215
244	244
273	273
301	301
301	211
330	330
36	36
417	417
417	800
446	446
475	475
503	503
532	532
561	561
590	590
677	677
734	734
985	985
985	389
102	102
13	13
159	159
188	188
216	216
274	274
302	302
331	331
360	360
39	39
418	418
447	447
476	476
504	504
533	533
562	562
649	649
706	706
706	929
96	96
1054	1054
1054	993
1054	984
1054	452
133	133
191	191
191	363
22	22
249	249
278	278
306	306
364	364
393	393
421	421
450	450
450	773
450	823
450	977
450	956
450	1022
48	48
508	508
537	537
566	566
595	595
623	623
652	652
681	681
71	71
739	739
77	77
872	872
872	62
93	93
99	99
134	134
163	163
192	192
220	220
25	25
279	279
279	887
307	307
336	336
365	365
394	394
422	422
451	451
480	480
480	858
509	509
509	965
567	567
596	596
596	463
624	624
653	653
682	682
710	710
74	74
801	801
961	961
106	106
135	135
164	164
193	193
221	221
28	28
308	308
337	337
337	991
366	366
395	395
481	481
51	51
539	539
597	597
625	625
654	654
683	683
711	711
771	771
771	655
802	802
962	962
1026	1026
1026	748
1026	413
202	202
231	231
260	260
260	752
29	29
318	318
347	347
347	785
376	376
404	404
433	433
433	1023
462	462
491	491
52	52
549	549
549	890
549	972
578	578
606	606
635	635
664	664
693	693
781	781
781	782
781	783
781	437
855	855
855	3
941	941
941	742
117	117
146	146
203	203
232	232
261	261
261	754
290	290
319	319
319	405
348	348
377	377
434	434
492	492
520	520
55	55
579	579
607	607
636	636
665	665
694	694
722	722
753	753
753	259
942	942
942	721
1038	1038
1038	334
118	118
147	147
147	1043
176	176
204	204
233	233
262	262
291	291
32	32
349	349
378	378
406	406
435	435
464	464
493	493
521	521
550	550
58	58
608	608
637	637
666	666
695	695
723	723
886	886
943	943
974	974
974	461
148	148
177	177
205	205
234	234
263	263
292	292
292	465
439	439
468	468
497	497
497	792
525	525
554	554
583	583
583	914
611	611
640	640
67	67
699	699
699	918
727	727
787	787
787	745
787	11
89	89
978	978
978	619
122	122
151	151
151	840
209	209
238	238
267	267
296	296
296	1051
324	324
324	994
353	353
382	382
44	44
469	469
498	498
526	526
612	612
641	641
670	670
7	7
728	728
788	788
788	856
788	678
832	832
861	861
861	644
919	919
919	700
123	123
152	152
181	181
21	21
21	805
239	239
268	268
297	297
325	325
354	354
383	383
411	411
440	440
47	47
499	499
527	527
556	556
585	585
613	613
642	642
671	671
70	70
729	729
76	76
833	833
862	862
862	645
92	92
949	949
98	98
124	124
153	153
182	182
210	210
24	24
269	269
298	298
326	326
326	997
355	355
384	384
412	412
441	441
470	470
5	5
528	528
107	107
136	136
165	165
194	194
222	222
251	251
280	280
309	309
338	338
367	367
396	396
424	424
424	1029
453	453
482	482
510	510
54	54
569	569
598	598
626	626
684	684
712	712
741	741
963	963
103	103
110	110
14	14
169	169
198	198
226	226
226	162
255	255
284	284
312	312
341	341
370	370
4	4
428	428
457	457
457	847
457	848
457	849
457	996
457	850
457	970
457	1045
457	796
457	842
457	843
457	844
457	1025
457	845
457	846
486	486
514	514
543	543
572	572
600	600
63	63
659	659
688	688
807	807
85	85
879	879
907	907
907	897
907	735
907	874
907	875
967	967
967	121
967	947
111	111
111	1037
140	140
17	17
199	199
227	227
256	256
285	285
313	313
342	342
371	371
40	40
429	429
458	458
487	487
515	515
544	544
573	573
601	601
630	630
66	66
689	689
717	717
777	777
777	1046
777	250
81	81
88	88
908	908
908	749
908	229
908	971
968	968
968	343
968	898
968	958
1032	1032
1032	906
1032	948
1032	945
1032	946
1032	555
1032	212
1032	765
112	112
141	141
170	170
2	2
2	798
2	799
257	257
286	286
286	820
286	1048
286	990
314	314
372	372
400	400
43	43
459	459
488	488
516	516
545	545
574	574
574	760
602	602
631	631
660	660
69	69
718	718
778	778
778	119
819	819
819	175
851	851
851	34
880	880
557	557
586	586
614	614
643	643
643	1033
672	672
73	73
79	79
863	863
863	864
863	647
863	770
920	920
920	701
920	921
95	95
125	125
154	154
183	183
240	240
27	27
299	299
327	327
356	356
385	385
442	442
471	471
50	50
529	529
558	558
587	587
615	615
673	673
673	883
730	730
126	126
155	155
184	184
184	957
241	241
270	270
328	328
357	357
386	386
414	414
443	443
472	472
500	500
53	53
559	559
588	588
616	616
674	674
702	702
702	922
731	731
865	865
865	648
156	156
185	185
213	213
242	242
271	271
30	30
329	329
358	358
387	387
387	827
415	415
444	444
473	473
530	530
56	56
589	589
617	617
646	646
