TaxID	Lineage
756067	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Microcoleaceae; g__Microcoleus; s__Microcoleus vaginatus
1173027	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Microcoleaceae; g__Microcoleus
388467	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Microcoleaceae; g__Planktothrix; s__Planktothrix agardhii
203124	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Microcoleaceae; g__Trichodesmium; s__Trichodesmium erythraeum
313612	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Oscillatoriaceae; g__Lyngbya
489825	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Oscillatoriaceae; g__Moorea; s__Moorea producens
179408	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Oscillatoriaceae; g__Oscillatoria; s__Oscillatoria nigro-viridis
56110	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Oscillatoriaceae; g__Oscillatoria; s__Oscillatoria acuminata
1173028	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales; f__Oscillatoriaceae; g__Oscillatoria
1128427	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Oscillatoriales
102125	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Pleurocapsales; f__Xenococcaceae; g__Xenococcus; s__Xenococcus sp. PCC 7305
1541065	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Pleurocapsales; f__Hyellaceae; g__Myxosarcina
118163	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Pleurocapsales; f__Hyellaceae; g__Pleurocapsa; s__Pleurocapsa minor
1173029	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Spirulinales; f__Spirulinaceae; g__Spirulina; s__Spirulina subsalsa
102129	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya
329726	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Acaryochloridaceae; g__Acaryochloris; s__Acaryochloris marina
1173020	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Chamaesiphonaceae; g__Chamaesiphon; s__Chamaesiphon minutus
272134	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya; s__Leptolyngbya boryana
1173264	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya
1229172	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya
1385935	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae; g__Leptolyngbya
864702	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Leptolyngbyaceae
1147	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Merismopediaceae; g__Synechocystis
927677	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Merismopediaceae; g__Synechocystis
93057	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Prochloraceae; g__Prochlorococcus; s__Prochlorococcus marinus
118166	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Prochlorotrichaceae; g__Nodosilinea; s__Nodosilinea nodulosa
317619	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Prochlorotrichaceae; g__Prochlorothrix; s__Prochlorothrix hollandica
118173	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Pseudanabaenaceae; g__Pseudanabaena
82654	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Pseudanabaenaceae; g__Pseudanabaena
180281	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Cyanobium
13035	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Dactylococcopsis; s__Dactylococcopsis salina
1140	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__Synechococcus elongatus
1173263	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
1407650	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
195250	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
195253	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
321327	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
91464	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Synechococcus
197221	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Synechococcales; f__Synechococcaceae; g__Thermosynechococcus; s__Thermosynechococcus elongatus
1487953	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia
